Volume of water (ml),Trial 1,Trial 2,Trial 3,Trial 4,Trial 5,Trial 6,Trial 7,Mean Time until touchdown (s)
0,0.65,0.58,0.57,0.5,0.49,0.51,,0.55
25,0.79,,,,,,,0.79
50,1.48,,,,,,,1.48
75,1.99,,,,,,,1.99
100,2.41,3.14,2.54,2.37,2.51,1.98,,2.49
125,2.39,,,,,,,2.39
150,3.26,3.12,2.51,2.41,2.66,2.58,3.3,2.83
175,2.38,2.25,2.09,,,,,2.24
200,2.61,2.58,2.41,2.66,2.11,2.02,,2.4
225,2.51,1.74,2.44,2.04,,,,2.18
250,2.54,2.98,1.94,2.34,2.87,2.4,,2.51
275,2.06,2.04,2.04,2.25,,,,2.1
300,2.04,2.27,1.9,,,,,2.07
325,1.47,1.31,,,,,,1.39
350,1.19,1.0,,,,,,1.09
375,1.41,0.89,,,,,,1.15
400,1.26,0.45,0.55,,,,,0.75
425,0.82,0.77,0.81,,,,,0.8
